Contacted?,Result?,County,School,Entity Type,Website,Phone,Phone Extension,Email,Administrator Name,Administrator Phone,Administrator Phone Ext.,PTO Contact Name,PTO Contact Number,PTO Contact Email,Notes
TRUE,Didn't Pickup,Alameda,Alameda County Community,County Community,www.acoe.org,(510) 670-4590,No Data,jgoodman@acoe.org,Jenaver Goodman,(510) 670-7683,7683,,,,
FALSE,,Alameda,Alameda County Juvenile Hall/Court,Juvenile Court Schools,www.acoe.org,(510) 670-7609,No Data,jgoode@acoe.org,Jessica Goode,(510) 670-7696,No Data,,,,
FALSE,,Alameda,Alameda County Special Education,Special Education Schools (Public),www.acoe.org,(510) 723-3857,No Data,mvaughan@acoe.org,Monica Vaughan,(510) 670-4242,No Data,,,,
FALSE,,Alameda,Alternatives in Action,High Schools (Public),www.alternativesinaction.org,(510) 748-4314,No Data,szamora@edtec.com,Daniel Zarazua,(510) 285-6290,No Data,,,,
FALSE,,Alameda,American Indian Public Charter School II,Elementary Schools (Public),www.aimsk12.org,(510) 893-8701,No Data,katema.ballentine@aimsk12.org,Marco Menendez,No Data,No Data,,,,
FALSE,,Alameda,Community School for Creative Education,Elementary Schools (Public),www.communityschoolforcreativeeducation.org,(510) 686-4131,No Data,info@communityschoolforcreativeeducation.org,Anayaxy Barraza,(510) 424-4649,No Data,,,,
FALSE,,Alameda,Connecting Waters Charter - East Bay,K-12 Schools (Public),www.cweastbay.org,(209) 874-1119,6,mmiller@cwcharter.org,Jerri Levers,(209) 874-1119,6,,,,
FALSE,,Alameda,Cox Academy,Elementary Schools (Public),www.efcps.org,(510) 904-6300,No Data,cdecox@efcps.net,Larissa Adam,No Data,No Data,,,,
FALSE,,Alameda,Envision Academy for Arts & Technology,K-12 Schools (Public),www.envisionacademy.org/,(510) 596-8901,No Data,compliance@envisionschools.org,Elizabeth Raji-Greg,(510) 451-2415,No Data,,,,
FALSE,,Alameda,Epic Charter,Intermediate/Middle Schools (Public),www.efcps.net,(510) 689-2035,No Data,tday@efcps.net,Larissa Adam,(510) 689-2035,No Data,,,,
FALSE,,Alameda,Hayward Collegiate Charter,Elementary Schools (Public),www.haywardcollegiate.org,(650) 520-3915,No Data,ami.ortiz@navigatorschools.org,Danilo Juarez,No Data,No Data,,,,
FALSE,,Alameda,Lazear Charter Academy,Elementary Schools (Public),www.efcps.org,(510) 689-2018,No Data,cdelazear@efcps.net,Kaitlin Friedman,No Data,No Data,,,,
FALSE,,Alameda,LPS Oakland R & D Campus,High Schools (Public),www.leadps.org,(510) 633-0750,No Data,lpssuperintendent@leadps.org,Brent Daniels,(510) 830-3780,No Data,,,,
FALSE,,Alameda,Oakland Unity Middle,Intermediate/Middle Schools (Public),www.unitymiddle.org,(510) 564-4851,No Data,stsang@unityhigh.org,Sau-Lim (Lance) Tsang,(510) 427-2736,No Data,,,,
FALSE,,Alameda,Opportunity Academy,County Community,www.acoe.org,(510) 670-7602,No Data,tburns@acoe.org,Tracey Burns,(510) 670-4157,No Data,,,,
FALSE,,Alameda,Yu Ming Charter,Elementary Schools (Public),www.yumingschool.org,(510) 452-2063,No Data,cpascual@yumingschool.org,Celia Pascual,(510) 452-2069,No Data,,,,
FALSE,,Alameda,Alameda Adult,Adult Education Centers,https://adult.alamedaunified.org/,(510) 522-3858,No Data,jchua@alamedaunified.org,Joy Chua,(510) 522-3858,No Data,,,,
FALSE,,Alameda,Alameda Community Learning Center,K-12 Schools (Public),www.alamedaclc.org,(510) 995-4300,No Data,annalisa.moore@clcschools.org,Annalisa Moore,No Data,No Data,,,,
FALSE,,Alameda,Alameda High,High Schools (Public),https://ahs.alamedaunified.org/,(510) 337-7022,No Data,abarrett@alamedaunified.org,Angela Barrett,(510) 337-7022,No Data,,,,
FALSE,,Alameda,Alameda Science and Technology Institute,Alternative Schools of Choice,https://asti.alamedaunified.org/,(510) 748-4021,No Data,tcorbally@alamedaunified.org,Tracy Corbally,(510) 748-4021,No Data,,,,
FALSE,,Alameda,Alameda Unified Special Education,Preschool,No Data,(510) 337-7000,No Data,jwahner@alamedaunified.org,Jorge Wahner,(510) 337-7000,77098,,,,
FALSE,,Alameda,Amelia Earhart Elementary,Elementary Schools (Public),https://earhart.alamedaunified.org/,(510) 748-4003,No Data,bdunnruiz@alamedaunified.org,Bryan Dunn-Ruiz,(510) 748-4003,3700,,,,
FALSE,,Alameda,Bay Farm,Elementary Schools (Public),https://bayfarm.alamedaunified.org/,(510) 748-4010,No Data,rabdelhamid@alamedaunified.org,Rahima Abdel-Hamid,(510) 748-4010,No Data,,,,
FALSE,,Alameda,Coastline Christian Schools,Elementary School (Private),coastlinechristian.org,(510) 522-0200,No Data,lisalovitt@ccs-rams.org,Lisa Lovitt,No Data,No Data,,,,
FALSE,,Alameda,Edison Elementary,Elementary Schools (Public),https://edison.alamedaunified.org/,(510) 748-4002,No Data,gsahakian@alamedaunified.org,Gregory Sahakian,(510) 748-4002,No Data,,,,
